Customer_ID,Age,Gender,Annual_Income,Marital_Status,Has_Driving_License,Owns_House,Buy_Car
1,25,Male,350000,Single,Yes,No,No
2,32,Female,650000,Married,Yes,Yes,Yes
3,28,Male,450000,Single,Yes,No,No
4,40,Female,900000,Married,Yes,Yes,Yes
5,35,Male,700000,Married,Yes,Yes,Yes
6,22,Female,250000,Single,No,No,No
7,45,Male,1200000,Married,Yes,Yes,Yes
8,29,Female,480000,Single,Yes,No,No
9,38,Male,800000,Married,Yes,Yes,Yes
10,27,Female,400000,Single,Yes,No,No
11,30,Male,550000,Married,Yes,Yes,Yes
12,24,Female,300000,Single,No,No,No
13,42,Male,950000,Married,Yes,Yes,Yes
14,31,Female,620000,Married,Yes,Yes,Yes
15,26,Male,380000,Single,Yes,No,No
16,37,Female,780000,Married,Yes,Yes,Yes
17,23,Male,280000,Single,No,No,No
18,41,Female,850000,Married,Yes,Yes,Yes
19,34,Male,600000,Married,Yes,Yes,Yes
20,28,Female,420000,Single,Yes,No,No
